x,y,token
48.709476,39.22441,emma
27.481035,-24.16213,by
51.74171,36.20922,jane
21.49246,-4.1840997,volume
-5.287694,40.781452,i
-73.17991,-0.82511854,chapter
19.820044,26.37387,handsome
12.104366,35.562103,clever
27.152025,-23.594734,and
-0.22739705,7.647369,rich
26.999796,-23.778008,with
33.732082,-17.970427,a
19.154272,35.43957,comfortable
51.195026,9.180397,home
18.407566,57.19142,happy
28.051634,37.159496,disposition
13.990483,-26.202644,seemed
27.274569,-23.109911,to
19.869738,12.809186,unite
32.395092,-13.739444,some
27.263868,-23.829962,of
27.216278,-23.710987,the
1.8337507,35.00326,best
-36.784462,14.362459,blessings
21.57362,24.06957,existence
37.767075,-21.077211,had
7.597715,14.356991,lived
22.84849,-25.449385,nearly
-60.552803,-30.622467,twenty
31.47018,-15.751087,one
-58.217655,-29.275148,years
27.222794,-24.137959,in
5.331302,6.3543363,world
37.71586,0.3269178,very
42.10416,-20.886333,little
17.10301,51.034058,distress
27.635689,-23.816795,or
-21.788017,28.819418,vex
61.93109,-3.5714538,her
61.918133,-3.5546145,she
37.853477,-21.175673,was
9.006718,60.710438,youngest
-14.79431,-22.4368,two
-68.04261,9.585063,daughters
19.15737,20.738209,most
30.57517,25.665194,affectionate
-4.2275743,26.56823,indulgent
-63.631355,11.079876,father
22.899508,36.112713,consequence
-63.778564,10.656562,sister
37.52172,-23.484158,s
23.221561,33.83732,marriage
43.032787,18.13312,been
54.022686,-7.9882164,mistress
38.906357,-23.545052,his
-45.268238,-2.5443869,house
26.580894,-24.08835,from
53.89729,10.540268,early
45.071693,17.605745,period
-63.72778,10.878144,mother
-62.9318,-5.8406844,died
37.623188,0.23329994,too
18.36759,-33.7932,long
43.48814,4.6946864,ago
35.39107,-16.09156,for
37.673317,-20.95953,have
12.989632,-9.85375,more
13.099687,-9.764788,than
33.64685,-18.11885,an
16.985119,53.99041,remembrance
-16.878906,-16.497889,place
40.4589,20.907953,supplied
20.614344,31.616026,excellent
-23.895664,-1.7166818,woman
34.24235,-14.781068,as
14.22941,36.895916,governess
39.19354,-13.902198,who
-27.845842,-4.6936674,fallen
30.772614,6.4733973,short
32.254307,40.989315,affection
-59.73414,-29.845234,sixteen
14.624238,37.38577,miss_taylor
48.688,38.992954,mr_woodhouse
7.6920824,15.410808,family
1.0988342,5.0221963,less
13.958754,37.004116,friend
12.950144,35.137985,fond
6.625444,7.2554774,both
35.146317,-16.163015,but
17.877197,35.47947,particularly
-29.871166,-3.7282724,between
35.072315,-17.013533,it
37.442753,39.550774,intimacy
9.883477,57.714275,sisters
11.278502,-5.733139,even
38.25825,-18.048666,before
1.2553204,19.747927,ceased
-17.392431,-6.232182,hold
4.4143004,15.492252,office
30.451828,19.22767,mildness
27.923752,37.74793,temper
47.474674,33.85023,hardly
47.395348,27.789309,allowed
12.687954,41.293537,impose
-1.2773314,34.282784,any
19.194067,43.41713,restraint
-13.251516,-20.711557,shadow
3.5633373,29.307411,authority
2.4330192,21.504786,being
35.85394,-14.39897,now
1.7810922,-33.266575,passed
42.84362,-42.19951,away
40.50901,-24.225147,they
2.5885155,8.144794,living
-34.34738,-6.0649743,together
20.62345,37.37893,attached
10.755802,40.39067,doing
36.57502,-12.913258,just
33.936382,-15.959677,what
8.804996,34.19883,liked
21.202545,32.509758,highly
-29.012896,26.444271,judgment
35.33894,1.8480346,directed
25.608023,21.404764,chiefly
-11.304965,21.813034,own
17.769875,18.52767,real
26.39212,27.378376,evils
10.632565,38.037548,indeed
31.638407,37.40453,situation
29.715834,-15.683926,were
-13.3814335,8.606514,power
