x,y,token
-49.647366,26.636719,[
1.7202595,63.33481,Emma
28.374697,26.678385,by
4.623754,63.407547,Jane
-49.588707,26.62839,]
-30.395275,20.448393,I
-28.63089,-67.50335,CHAPTER
5.283779,63.201626,Woodhouse
28.915653,27.872423,","
-17.66045,42.7265,handsome
-16.353033,43.50458,clever
28.53808,27.497063,and
0.658186,-28.765404,rich
28.61973,27.395573,with
27.29991,27.175472,a
-14.789551,59.322186,comfortable
-26.629047,27.793901,home
-18.196835,34.308525,happy
-10.771324,49.12805,disposition
25.257381,19.1819,seemed
28.167725,27.840002,to
-4.8304133,32.445965,unite
20.447798,19.642979,some
28.438778,27.236921,of
28.24539,27.307379,the
-24.445017,21.310453,best
-19.391422,-20.25256,blessings
-12.530152,45.471382,existence
28.847692,27.845284,;
29.111399,30.377207,had
8.356187,-54.4603,lived
16.569538,25.720148,nearly
9.884361,-56.056847,twenty
45.78249,-7.0379076,-
25.781246,27.003057,one
8.934481,-54.840527,years
28.511282,27.071112,in
-11.247524,9.387342,world
-24.162178,30.433397,very
41.672638,31.322899,little
-10.340395,58.488907,distress
28.23463,26.243587,or
-32.858524,-18.459671,vex
27.335043,49.325836,her
28.78466,27.893824,.
27.282055,49.344303,She
29.371271,30.462244,was
-24.243061,-52.45269,youngest
12.318636,-56.497902,two
-22.53435,-54.040424,daughters
2.8607807,20.607925,most
-1.2075349,51.824936,affectionate
0.74447334,37.34226,indulgent
-35.23909,-49.989456,father
-10.835686,53.11786,consequence
-35.24408,-49.97297,sister
-29.306799,15.711204,'
-5.2389965,14.121886,s
-10.35148,52.877735,marriage
3.4865751,44.676323,been
7.384738,57.70214,mistress
35.494583,30.194172,his
-5.947204,-41.604794,house
42.62026,3.823096,from
18.564045,50.836334,early
8.932708,50.308327,period
-3.1040835,43.62739,Her
-35.247475,-49.9466,mother
-19.043104,-61.65964,died
-24.186096,30.347233,too
31.562151,4.87943,long
4.153461,-20.253124,ago
27.62824,28.799461,for
28.492771,30.012632,have
-8.630353,21.488464,more
-8.619415,21.49719,than
27.07602,26.953768,an
-10.423129,58.737225,remembrance
10.541891,30.527384,caresses
1.2100796,-18.833261,place
-1.1186974,44.81376,supplied
-16.015383,44.302105,excellent
-35.220936,-47.917583,woman
30.908718,27.704193,as
-28.594458,46.606224,governess
30.06885,31.669981,who
-9.983527,-27.116255,fallen
22.296791,33.041576,short
-10.623537,50.597954,affection
5.7054663,-18.208406,Sixteen
5.188135,63.257835,Miss
-29.538935,46.824966,Taylor
9.112528,61.345165,Mr
-2.412966,-20.66909,family
-19.46043,35.07527,less
-28.36836,46.861362,friend
-21.840893,54.378357,fond
-15.595388,-12.278796,both
27.507248,28.798244,but
-20.610205,54.911716,particularly
20.193417,3.5574212,Between
26.998667,28.371231,it
-7.041913,55.783974,intimacy
-16.62822,38.730057,sisters
-33.03013,-32.072002,Even
34.10363,25.793364,before
13.96022,44.026215,ceased
-8.979441,-28.960144,hold
-20.486036,-51.66932,office
17.05859,35.293854,mildness
-11.108687,49.18174,temper
-11.639289,39.834965,hardly
-16.00144,56.54514,allowed
-24.11944,35.876118,impose
-23.223427,26.946299,any
-23.10493,42.38323,restraint
20.972103,-27.656195,shadow
-4.8605404,40.61188,authority
5.574359,32.04369,being
32.62594,25.010813,now
-6.6045036,-48.285103,passed
56.58959,15.796355,away
35.727753,28.587076,they
-6.332151,16.989971,living
-9.909964,-46.029278,together
8.490128,32.341934,mutually
-16.707617,41.43605,attached
-26.9261,36.013233,doing
-28.690062,23.516178,just
-31.27338,19.19365,what
27.328327,49.329224,she
-18.858953,55.89647,liked
-16.469107,42.579247,highly
-26.981289,-20.080906,judgment
28.036856,38.720886,directed
5.268467,17.445517,chiefly
-9.2747,16.954216,own
13.455428,-11.423075,The
-12.098806,48.53408,real
-7.3719625,51.000515,evils
-30.479893,32.034267,indeed
-11.534277,50.941906,situation
29.764757,29.697521,were
-26.445751,-27.14467,power
5.574243,32.071198,having
25.768183,34.072586,rather
-21.611412,32.69674,much
45.569584,22.417755,way
-35.00892,33.057377,think
-21.515156,32.57989,well
27.289003,49.351326,herself
5.421843,8.856041,these
27.024326,28.34425,which
5.2274675,47.102394,threatened
2.1668751,38.006096,alloy
-10.408242,-41.501617,many
-5.8814297,34.96583,enjoyments
-18.92227,50.639606,danger
-11.10734,39.982857,however
29.17537,26.787859,at
-14.882636,47.255135,present
30.92295,27.708603,so
4.873612,29.888283,unperceived
27.07853,28.37414,that
-39.64528,34.657425,did
-27.590889,21.870495,not
-19.847591,41.668556,means
-4.9990883,34.894886,rank
-12.127431,3.5314639,misfortunes
-33.97089,-4.931054,Sorrow
58.5886,6.476594,came
-39.19833,12.646139,--
-8.184429,-8.231337,gentle
-11.1325245,-22.44383,sorrow
28.541533,27.476957,all
30.380974,0.32123196,shape
-17.203102,50.99005,disagreeable
-8.312144,57.323883,consciousness
-30.620674,31.737545,.--
-29.623474,46.912914,married
-26.858004,8.540399,It
-11.607757,51.682003,loss
22.05625,25.101545,first
-14.2642,-39.278244,brought
-11.156326,-22.691647,grief
58.644413,13.504593,on
11.620056,48.064255,wedding
-8.22421,19.740648,day
27.066933,28.013845,this
-27.449371,-15.925375,beloved
54.914646,7.4947996,sat
16.2156,-15.492442,mournful
-24.07877,28.754953,thought
-7.480878,51.29304,continuance
49.49082,6.843639,over
-6.862738,-24.933025,bride
-20.008705,-40.78101,people
-5.6434937,-19.03326,gone
24.178522,20.400734,left
13.709502,53.66052,dine
-22.896137,26.797989,no
-1.1463989,54.510643,prospect
-13.835681,-69.06145,third
-15.110639,29.967329,cheer
18.5577,50.877037,evening
18.260906,39.592678,composed
36.81695,28.680819,himself
-6.535939,-20.358673,sleep
34.07004,26.436268,after
19.430079,52.85835,dinner
1.7604285,51.0879,usual
32.74897,25.061256,then
-15.598899,18.794365,only
-24.390734,-0.34620252,sit
-19.608652,25.7305,lost
-7.0101447,57.98318,event
-13.147857,-15.483144,every
-34.166264,40.922523,promise
-9.635424,51.895775,happiness
6.9091425,63.177197,Weston
25.725523,30.524858,man
-8.136758,44.85082,unexceptionable
-11.258268,49.332596,character
-16.874577,35.088768,easy
-12.275838,52.10731,fortune
-7.933799,45.14443,suitable
-15.318953,23.192934,age
6.3142247,4.1997957,pleasant
-10.803137,47.54983,manners
45.63329,23.659405,there
-9.147039,54.337765,satisfaction
-8.739298,41.753464,considering
-13.835141,45.13172,self
-7.577684,49.466297,denying
-13.179775,48.802383,generous
-10.986619,49.791008,friendship
-22.378529,30.511885,always
-18.310095,55.416725,wished
-2.1218357,40.70173,promoted
-17.647318,45.320312,match
56.516933,-16.288683,black
18.557795,50.86829,morning
-2.634158,-42.28817,work
-33.528343,34.352074,want
-39.372585,34.41871,would
27.13467,28.859941,be
-12.212294,38.600075,felt
8.928425,50.63442,hour
16.520006,38.100952,recalled
-12.167887,-3.2371266,past
-11.3080015,56.70398,kindness
9.478781,-55.385426,sixteen
-31.259558,19.23146,how
-24.187569,-37.41719,taught
15.43355,40.057182,played
10.698747,-56.03514,five
39.66614,11.970306,old
-3.403254,41.105183,devoted
-8.117288,48.65046,powers
-15.453487,51.29887,attach
-16.22604,36.749603,amuse
-14.120499,45.162117,health
1.1031612,41.38065,nursed
33.849396,-11.736477,through
13.031269,12.053566,various
2.9498196,30.562445,childhood
-10.834157,-12.85778,A
25.587618,6.5879784,large
-10.550329,36.467598,debt
-9.457164,56.831,gratitude
13.589158,32.652508,owing
-31.29292,16.96886,here
-3.8934932,46.883163,intercourse
22.141039,25.116137,last
11.021015,-55.454838,seven
-12.16877,47.02802,equal
2.5927622,39.170784,footing
-23.76302,-8.6605425,perfect
-6.6179137,50.849304,unreserve
17.456604,47.328804,soon
-17.022512,-42.72488,followed
6.831465,58.2125,Isabella
29.310194,9.123578,their
25.508663,26.808992,each
25.605831,26.866795,other
-17.62165,3.0644612,yet
-20.353308,35.548637,dearer
-2.6616678,56.613804,recollection
1.6114331,48.77768,companion
-6.6139526,4.4952226,such
23.483961,38.741913,few
-15.76595,-37.79993,possessed
-40.37286,-34.615543,:
-17.040636,42.34007,intelligent
5.66988,53.366417,informed
-16.324589,52.004982,useful
-22.152243,50.461094,knowing
-23.57876,-16.709372,ways
-14.993974,54.551662,interested
24.585207,6.851103,its
-5.21224,48.80763,concerns
-2.6507463,52.10306,peculiarly
-21.627956,50.346634,pleasure
2.3985987,56.32941,scheme
-18.171593,53.43791,hers
-17.362251,-9.638681,whom
-39.55088,34.573284,could
-36.60266,-23.78499,speak
-14.260502,-48.484436,arose
-24.226484,28.563993,never
-32.898853,34.978466,find
-28.062304,35.324657,fault
-49.16993,6.7673435,How
-29.947395,-14.619099,bear
-18.800852,48.848682,change
-33.103607,19.710268,?--
-40.317963,15.022164,true
-26.595367,26.056906,going
17.043627,4.2325473,half
52.083557,24.977425,mile
35.799816,28.578058,them
-17.91055,57.374477,aware
21.797562,9.860425,great
-38.75375,33.90627,must
-15.45007,45.614887,difference
21.329046,4.0478616,between
7.601161,62.62503,Mrs
-7.4161263,48.230583,advantages
-10.004205,47.13164,natural
-7.40338,48.057255,domestic
-9.015618,51.184948,suffering
-2.8013203,22.002613,intellectual
-2.8561387,47.05693,solitude
-27.396692,-15.883203,dearly
-23.753468,48.923588,loved
36.90482,28.656805,he
36.9135,28.697113,He
-37.937878,-13.402078,meet
-4.5352035,56.966938,conversation
-10.438462,48.577564,rational
24.420727,35.113163,playful
-22.828932,-21.879631,evil
4.920795,26.554972,actual
-18.456938,38.384132,disparity
3.9874377,-12.93332,ages
-44.907486,17.357138,(
-44.881905,17.370087,)
2.7890322,46.071503,increased
-11.631714,44.33487,constitution
-7.432165,48.254684,habits
-24.352446,-8.938163,life
-6.80179,31.321486,without
-7.2514997,47.627678,activity
-8.477266,50.543983,mind
-19.362112,5.583338,body
-21.116919,25.048002,older
-5.9851513,22.652727,though
-2.868145,4.9696145,everywhere
3.597982,38.320705,friendliness
-20.453676,-22.269196,heart
-15.78313,44.32277,amiable
10.017919,-50.232983,talents
-2.553368,50.356335,recommended
35.871292,28.592594,him
-8.365442,19.75604,time
17.334127,30.779316,comparatively
-9.308881,-49.015247,removed
-22.695488,38.457165,matrimony
13.660667,50.962173,settled
21.299944,27.203344,London
25.13352,-49.495796,miles
56.57206,15.793246,off
10.13533,-3.8644779,beyond
-2.5975287,-42.762558,daily
10.593147,-2.916045,reach
-53.827614,26.601412,October
-53.834423,26.593454,November
23.355532,33.70248,struggled
12.692913,53.23915,Hartfield
-26.338345,22.314873,Christmas
16.173157,51.74677,next
10.742518,51.955647,visit
-35.23521,-49.822422,husband
-16.27078,-17.687386,children
2.0599651,-22.437384,fill
-35.815212,-16.174286,give
-6.328178,47.040005,society
55.614723,16.202942,again
12.692074,53.142006,Highbury
33.33714,-27.291065,populous
12.581462,55.95234,village
27.05825,18.789389,almost
13.988984,52.052692,town
-4.606308,50.263813,spite
-3.114285,24.488949,separate
55.06355,2.2189553,lawn
-13.347173,13.226813,shrubberies
-25.88461,-46.037907,name
-23.023623,29.945683,really
-29.444397,39.53782,belong
-4.2023606,47.377758,afforded
-13.355444,-1.6486342,equals
-6.430335,-17.46676,All
56.56554,7.5204215,looked
55.238583,15.651579,up
-6.447506,60.28842,acquaintance
-13.860703,37.504158,universally
-20.633657,54.5658,civil
-9.53992,-43.47573,among
-23.86545,46.83952,accepted
23.23284,7.170211,even
17.894924,39.805325,melancholy
-30.71266,30.047989,sigh
-31.856987,34.894657,wish
-18.935207,40.458298,impossible
-2.2214472,19.802034,things
-1.1359282,-37.561066,till
1.3973678,-20.636929,awoke
27.57234,19.130648,made
-18.64,40.971756,necessary
18.07263,39.909935,cheerful
-10.404276,-9.970638,His
-0.5673059,55.276855,spirits
-8.138973,53.593132,required
0.47179303,48.43105,support
-8.942115,41.44537,nervous
-21.852945,31.050314,easily
1.8699288,47.667675,depressed
-22.186619,29.302885,used
-17.56116,-3.1029077,hating
7.3602405,-22.413528,part
-11.818766,35.497547,kind
-4.8094625,34.620785,origin
-20.806992,47.658253,reconciled
-35.187096,-50.08771,daughter
-13.262768,53.07924,marrying
-17.321888,-18.699759,nor
-15.201945,-5.9789553,ever
